BFA-RO4,BGA-RO4,BFA-RO1,BGA-RO1,BGA-RO2,BGA-RO3,BFA-RO2,BFA-RO3,◊Ó”≈÷µ
92603,90175,94166,90148,89728,91440,93221,96861,105780
93643,90822,95157,91134,94191,94572,94223,97054,105780
95154,92808,95457,95145,94720,97262,95592,98288,105780
96337,94224,96689,95285,95460,99224,96211,98712,105780
96692,95785,97267,96327,96953,99533,96975,99979,105780
97255,96184,97267,97264,97925,100659,97489,100328,105780
97508,98723,97435,98567,99032,101258,97756,100328,105780
97786,98723,97975,98871,99215,101548,98101,100713,105780
98811,98723,98110,99286,100210,101761,98731,100969,105780
98811,99884,98563,99953,100785,102273,98731,101305,105780
98811,99884,98570,101117,101944,102666,98899,101305,105780
99249,100460,98570,101241,101944,102930,99506,101327,105780
99410,100807,99124,102272,101944,102943,99506,101327,105780
99410,101644,99124,103273,101944,102998,99847,101508,105780
99443,101828,99571,103273,102417,102998,99847,101508,105780
99616,101963,99705,103273,102734,103646,100089,101508,105780
100219,102615,100296,103273,102734,103646,100089,101508,105780
100222,103471,100296,103343,102734,103646,100228,101508,105780
100251,103471,100296,103515,102734,103646,100228,101508,105780
100336,103471,100955,103693,102841,103646,100290,101697,105780
100336,103471,100955,103722,103291,103665,100521,102197,105780
100336,104070,100955,103957,103291,103665,100908,102197,105780
100523,104070,100955,103957,103314,103665,100908,102197,105780
100523,104168,100955,104215,103370,103665,100908,102197,105780
100549,104168,100955,104535,103548,103665,101025,102197,105780
100549,104168,100955,104535,103855,103844,101025,102197,105780
100549,104168,100955,104535,103855,103844,101025,102197,105780
100661,104599,100955,104535,103855,103844,101239,102197,105780
101157,104599,101216,104535,103855,103844,101239,102197,105780
101360,104599,101216,104535,103855,103844,101239,102197,105780
101599,104599,101216,104535,103855,103844,101239,102197,105780
101599,104599,101216,104535,103855,103844,101297,102197,105780
101599,104599,101216,104535,103855,103844,101297,102197,105780
101599,104599,101216,104535,103855,103844,101297,102197,105780
