文件名称,cplex求解结果,文献最优解,文献最优解状态,cplexGap,cplex耗时,
weing1.dat,141278,141278,Optimal,0.0,0,
weing2.dat,130883,130883,Optimal,0.0,0,
weing3.dat,95677,95677,Optimal,0.0,0,
weing4.dat,119337,119337,Optimal,0.0,0,
weing5.dat,98796,98796,Optimal,0.0,0,
weing6.dat,130623,130623,Optimal,9.18674352908752E-5,0,
weing7.dat,1095264,1095445,Optimal,4.174336050486033E-4,0,
weing8.dat,624319,624319,Optimal,9.778438370232339E-4,0,
gk1.dat,3766,3766,Optimal,9.99989052840692E-4,1,
gk2.dat,3958,3958,Optimal,9.999859721961403E-4,37,
gk3.dat,5655,5656,Optimal,0.001449510843155076,100,
gk4.dat,5765,0,Optimal,0.0035640669217099938,101,
gk5.dat,7558,0,Optimal,0.0019298365148264324,100,
gk6.dat,7677,0,Optimal,0.0028065850876170164,100,
gk7.dat,19215,0,Optimal,8.498055166512734E-4,6,
gk8.dat,18801,0,Optimal,0.0015132610847894057,100,
gk9.dat,58064,0,Optimal,6.278381132076311E-4,0,
gk10.dat,57266,0,Optimal,9.11222248044527E-4,1,
gk11.dat,95191,0,Optimal,9.086076304883622E-4,3,
