文件名称,算法名称,修复算子,文献最优解,文献最优解状态,算法最优解,gap,迭代次数,耗时
OR5x100-0.25_10.dat,BFA,repairDropAddByGroup,24411,Optimal,23920,2.01%,20,1
OR5x100-0.25_10.dat,BFA,RO2,24411,Optimal,24271,0.57%,20,0
OR5x100-0.25_10.dat,BFA,RO1,24411,Optimal,18638,23.65%,20,1
OR5x100-0.25_10.dat,BFA,dropItemsByDual,24411,Optimal,18605,23.78%,20,0
OR5x250-0.50_10.dat,BFA,repairDropAddByGroup,107058,Optimal,102079,4.65%,20,2
OR5x250-0.50_10.dat,BFA,RO2,107058,Optimal,101218,5.45%,20,0
OR5x250-0.50_10.dat,BFA,RO1,107058,Optimal,91872,14.18%,20,1
OR5x250-0.50_10.dat,BFA,dropItemsByDual,107058,Optimal,91967,14.10%,20,0
OR5x500-0.75_10.dat,BFA,repairDropAddByGroup,299910,Optimal,287853,4.02%,20,2
OR5x500-0.75_10.dat,BFA,RO2,299910,Optimal,276025,7.96%,20,0
OR5x500-0.75_10.dat,BFA,RO1,299910,Optimal,249764,16.72%,20,1
OR5x500-0.75_10.dat,BFA,dropItemsByDual,299910,Optimal,249994,16.64%,20,0
OR10x100-0.25_10.dat,BFA,repairDropAddByGroup,22702,Optimal,21920,3.44%,20,1
OR10x100-0.25_10.dat,BFA,RO2,22702,Optimal,22141,2.47%,20,0
OR10x100-0.25_10.dat,BFA,RO1,22702,Optimal,17178,24.33%,20,1
OR10x100-0.25_10.dat,BFA,dropItemsByDual,22702,Optimal,17209,24.20%,20,0
OR10x250-0.50_10.dat,BFA,repairDropAddByGroup,106723,Optimal,101367,5.02%,20,1
OR10x250-0.50_10.dat,BFA,RO2,106723,Optimal,102560,3.90%,20,1
OR10x250-0.50_10.dat,BFA,RO1,106723,Optimal,90698,15.02%,20,0
OR10x250-0.50_10.dat,BFA,dropItemsByDual,106723,Optimal,91305,14.45%,20,1
OR10x500-0.75_10.dat,BFA,repairDropAddByGroup,307089,Optimal,295581,3.75%,20,1
OR10x500-0.75_10.dat,BFA,RO2,307089,Optimal,278040,9.46%,20,1
OR10x500-0.75_10.dat,BFA,RO1,307089,Optimal,251961,17.95%,20,1
OR10x500-0.75_10.dat,BFA,dropItemsByDual,307089,Optimal,254242,17.21%,20,0
OR30x100-0.25_10.dat,BFA,repairDropAddByGroup,20983,Optimal,19975,4.80%,20,2
OR30x100-0.25_10.dat,BFA,RO2,20983,Optimal,21021,-0.18%,11,0
OR30x100-0.25_10.dat,BFA,RO1,20983,Optimal,16064,23.44%,20,0
OR30x100-0.25_10.dat,BFA,dropItemsByDual,20983,Optimal,16094,23.30%,20,0
OR30x250-0.50_10.dat,BFA,repairDropAddByGroup,105780,Feasible,100745,4.76%,20,3
OR30x250-0.50_10.dat,BFA,RO2,105780,Feasible,101114,4.41%,20,1
OR30x250-0.50_10.dat,BFA,RO1,105780,Feasible,90289,14.64%,20,1
OR30x250-0.50_10.dat,BFA,dropItemsByDual,105780,Feasible,90090,14.83%,20,1
OR30x500-0.75_10.dat,BFA,repairDropAddByGroup,300572,Feasible,289405,3.72%,20,2
OR30x500-0.75_10.dat,BFA,RO2,300572,Feasible,273905,8.87%,20,2
OR30x500-0.75_10.dat,BFA,RO1,300572,Feasible,248114,17.45%,20,1
OR30x500-0.75_10.dat,BFA,dropItemsByDual,300572,Feasible,250499,16.66%,20,1
