文件名称,算法名称,修复算子,文献最优解,文献最优解状态,算法最优解,gap,迭代次数,耗时,第k次实验
OR5x100-0.25_10.dat,BGA,RO2,24411,Optimal,24411,0,491,2,3
OR5x100-0.25_10.dat,BGA,RO2,24411,Optimal,24411,0,538,2,1
OR5x100-0.25_10.dat,BGA,RO2,24411,Optimal,24411,0,846,2,0
OR5x100-0.25_10.dat,BGA,RO2,24411,Optimal,24411,0,1186,3,7
OR5x100-0.25_10.dat,BGA,RO2,24411,Optimal,24411,0,1227,3,4
OR5x100-0.25_10.dat,BGA,RO2,24411,Optimal,24411,0,1420,4,5
OR5x100-0.25_10.dat,BGA,RO2,24411,Optimal,24411,0,2609,6,6
OR5x100-0.25_10.dat,BGA,RO2,24411,Optimal,24411,0,3249,6,2
OR5x100-0.25_10.dat,BGA,RO3,24411,Optimal,24411,0,305,1,0
OR5x100-0.25_10.dat,BGA,RO3,24411,Optimal,24411,0,389,2,5
OR5x100-0.25_10.dat,BGA,RO3,24411,Optimal,24411,0,431,3,7
OR5x100-0.25_10.dat,BGA,RO3,24411,Optimal,24411,0,1041,4,3
OR5x100-0.25_10.dat,BGA,RO3,24411,Optimal,24411,0,1522,6,4
OR5x100-0.25_10.dat,BGA,RO3,24411,Optimal,24411,0,1886,6,2
OR5x100-0.25_10.dat,BGA,RO3,24411,Optimal,24411,0,2120,7,6
OR5x100-0.25_10.dat,BGA,RO3,24411,Optimal,24399,4.92E-04,5000,12,1
OR5x100-0.25_10.dat,BGA,RO1,24411,Optimal,24411,0,155,1,3
OR5x100-0.25_10.dat,BGA,RO1,24411,Optimal,24411,0,240,1,7
OR5x100-0.25_10.dat,BGA,RO1,24411,Optimal,24411,0,279,1,1
OR5x100-0.25_10.dat,BGA,RO1,24411,Optimal,24411,0,408,1,4
OR5x100-0.25_10.dat,BGA,RO1,24411,Optimal,24411,0,546,1,2
OR5x100-0.25_10.dat,BGA,RO1,24411,Optimal,24411,0,1032,2,5
OR5x100-0.25_10.dat,BGA,RO1,24411,Optimal,24411,0,1192,2,6
OR5x100-0.25_10.dat,BGA,RO1,24411,Optimal,24366,0.001843431,5000,4,0
OR5x100-0.25_10.dat,BGA,RO4,24411,Optimal,24411,0,30,0,2
OR5x100-0.25_10.dat,BGA,RO4,24411,Optimal,24411,0,34,0,7
OR5x100-0.25_10.dat,BGA,RO4,24411,Optimal,24411,0,349,1,0
OR5x100-0.25_10.dat,BGA,RO4,24411,Optimal,24411,0,748,1,5
OR5x100-0.25_10.dat,BGA,RO4,24411,Optimal,24411,0,1322,2,4
OR5x100-0.25_10.dat,BGA,RO4,24411,Optimal,24411,0,1519,2,3
OR5x100-0.25_10.dat,BGA,RO4,24411,Optimal,24411,0,1573,2,6
OR5x100-0.25_10.dat,BGA,RO4,24411,Optimal,24344,0.002744664,5000,4,1
OR5x250-0.50_10.dat,BGA,RO2,107058,Optimal,106948,0.00102748,12500,57,4
OR5x250-0.50_10.dat,BGA,RO2,107058,Optimal,107020,3.55E-04,12500,57,2
OR5x250-0.50_10.dat,BGA,RO2,107058,Optimal,106971,8.13E-04,12500,58,3
OR5x250-0.50_10.dat,BGA,RO2,107058,Optimal,106961,9.06E-04,12500,58,0
OR5x250-0.50_10.dat,BGA,RO2,107058,Optimal,106964,8.78E-04,12500,58,5
OR5x250-0.50_10.dat,BGA,RO2,107058,Optimal,106953,9.81E-04,12500,59,1
OR5x250-0.50_10.dat,BGA,RO2,107058,Optimal,106967,8.50E-04,12500,59,7
OR5x250-0.50_10.dat,BGA,RO2,107058,Optimal,106983,7.01E-04,12500,59,6
OR5x250-0.50_10.dat,BGA,RO3,107058,Optimal,106980,7.29E-04,12500,132,3
OR5x250-0.50_10.dat,BGA,RO3,107058,Optimal,106969,8.31E-04,12500,132,4
OR5x250-0.50_10.dat,BGA,RO3,107058,Optimal,107002,5.23E-04,12500,133,1
OR5x250-0.50_10.dat,BGA,RO3,107058,Optimal,107027,2.90E-04,12500,134,6
OR5x250-0.50_10.dat,BGA,RO3,107058,Optimal,107021,3.46E-04,12500,137,0
OR5x250-0.50_10.dat,BGA,RO3,107058,Optimal,107021,3.46E-04,12500,137,5
OR5x250-0.50_10.dat,BGA,RO3,107058,Optimal,106998,5.60E-04,12500,137,7
OR5x250-0.50_10.dat,BGA,RO3,107058,Optimal,106976,7.66E-04,12500,138,2
OR5x250-0.50_10.dat,BGA,RO1,107058,Optimal,107038,1.87E-04,12500,50,3
OR5x250-0.50_10.dat,BGA,RO1,107058,Optimal,107038,1.87E-04,12500,50,6
OR5x250-0.50_10.dat,BGA,RO1,107058,Optimal,107038,1.87E-04,12500,50,0
OR5x250-0.50_10.dat,BGA,RO1,107058,Optimal,107038,1.87E-04,12500,50,1
OR5x250-0.50_10.dat,BGA,RO1,107058,Optimal,107038,1.87E-04,12500,51,5
OR5x250-0.50_10.dat,BGA,RO1,107058,Optimal,107026,2.99E-04,12500,51,4
OR5x250-0.50_10.dat,BGA,RO1,107058,Optimal,107038,1.87E-04,12500,51,2
OR5x250-0.50_10.dat,BGA,RO1,107058,Optimal,107038,1.87E-04,12500,51,7
OR5x250-0.50_10.dat,BGA,RO4,107058,Optimal,107038,1.87E-04,12500,31,4
OR5x250-0.50_10.dat,BGA,RO4,107058,Optimal,107021,3.46E-04,12500,32,6
OR5x250-0.50_10.dat,BGA,RO4,107058,Optimal,107038,1.87E-04,12500,32,3
OR5x250-0.50_10.dat,BGA,RO4,107058,Optimal,107038,1.87E-04,12500,32,0
OR5x250-0.50_10.dat,BGA,RO4,107058,Optimal,107038,1.87E-04,12500,32,5
OR5x250-0.50_10.dat,BGA,RO4,107058,Optimal,107038,1.87E-04,12500,32,1
OR5x250-0.50_10.dat,BGA,RO4,107058,Optimal,107038,1.87E-04,12500,32,7
OR5x250-0.50_10.dat,BGA,RO4,107058,Optimal,107021,3.46E-04,12500,32,2
OR5x500-0.75_10.dat,BGA,RO2,299910,Optimal,299733,5.90E-04,10000,75,4
OR5x500-0.75_10.dat,BGA,RO2,299910,Optimal,299718,6.40E-04,10000,76,6
OR5x500-0.75_10.dat,BGA,RO2,299910,Optimal,299714,6.54E-04,10000,76,1
OR5x500-0.75_10.dat,BGA,RO2,299910,Optimal,299770,4.67E-04,10000,77,0
OR5x500-0.75_10.dat,BGA,RO2,299910,Optimal,299720,6.34E-04,10000,77,3
OR5x500-0.75_10.dat,BGA,RO2,299910,Optimal,299705,6.84E-04,10000,77,5
OR5x500-0.75_10.dat,BGA,RO2,299910,Optimal,299719,6.37E-04,10000,77,7
OR5x500-0.75_10.dat,BGA,RO2,299910,Optimal,299697,7.10E-04,10000,78,2
OR5x500-0.75_10.dat,BGA,RO3,299910,Optimal,299750,5.33E-04,10000,134,0
OR5x500-0.75_10.dat,BGA,RO3,299910,Optimal,299787,4.10E-04,10000,134,1
OR5x500-0.75_10.dat,BGA,RO3,299910,Optimal,299780,4.33E-04,10000,135,6
OR5x500-0.75_10.dat,BGA,RO3,299910,Optimal,299736,5.80E-04,10000,136,3
OR5x500-0.75_10.dat,BGA,RO3,299910,Optimal,299813,3.23E-04,10000,146,7
OR5x500-0.75_10.dat,BGA,RO3,299910,Optimal,299820,3.00E-04,10000,146,2
OR5x500-0.75_10.dat,BGA,RO3,299910,Optimal,299794,3.87E-04,10000,147,5
OR5x500-0.75_10.dat,BGA,RO3,299910,Optimal,299768,4.73E-04,10000,148,4
OR5x500-0.75_10.dat,BGA,RO1,299910,Optimal,299812,3.27E-04,10000,53,6
OR5x500-0.75_10.dat,BGA,RO1,299910,Optimal,299864,1.53E-04,10000,54,0
