文件名称,算法名称,修复算子,文献最优解,文献最优解状态,算法最优解,gap,迭代次数,耗时,第k次实验
OR5x100-0.25_10.dat,BFA,RO2,24411,Optimal,24291,0.004915817,1000,5,2
OR5x100-0.25_10.dat,BFA,RO2,24411,Optimal,24267,0.00589898,1000,6,1
OR5x100-0.25_10.dat,BFA,RO2,24411,Optimal,24342,0.002826595,1000,7,3
OR5x100-0.25_10.dat,BFA,RO2,24411,Optimal,24360,0.002089222,1000,7,6
OR5x100-0.25_10.dat,BFA,RO2,24411,Optimal,24360,0.002089222,1000,8,0
OR5x100-0.25_10.dat,BFA,RO2,24411,Optimal,24340,0.002908525,1000,8,4
OR5x100-0.25_10.dat,BFA,RO2,24411,Optimal,24340,0.002908525,1000,7,5
OR5x100-0.25_10.dat,BFA,RO2,24411,Optimal,24342,0.002826595,1000,9,7
OR5x100-0.25_10.dat,BFA,RO3,24411,Optimal,24411,0,146,5,2
OR5x100-0.25_10.dat,BFA,RO3,24411,Optimal,24411,0,181,6,6
OR5x100-0.25_10.dat,BFA,RO3,24411,Optimal,24360,0.002089222,1000,8,3
OR5x100-0.25_10.dat,BFA,RO3,24411,Optimal,24289,0.004997747,1000,8,1
OR5x100-0.25_10.dat,BFA,RO3,24411,Optimal,24342,0.002826595,1000,10,0
OR5x100-0.25_10.dat,BFA,RO3,24411,Optimal,24299,0.004588096,1000,12,5
OR5x100-0.25_10.dat,BFA,RO3,24411,Optimal,24335,0.003113351,1000,13,7
OR5x100-0.25_10.dat,BFA,RO3,24411,Optimal,24335,0.003113351,1000,14,4
OR5x100-0.25_10.dat,BFA,RO1,24411,Optimal,24236,0.007168899,1000,1,3
OR5x100-0.25_10.dat,BFA,RO1,24411,Optimal,24236,0.007168899,1000,1,4
OR5x100-0.25_10.dat,BFA,RO1,24411,Optimal,24236,0.007168899,1000,1,5
OR5x100-0.25_10.dat,BFA,RO1,24411,Optimal,24191,0.009012331,1000,1,6
OR5x100-0.25_10.dat,BFA,RO1,24411,Optimal,24340,0.002908525,1000,1,7
OR5x100-0.25_10.dat,BFA,RO1,24411,Optimal,24236,0.007168899,1000,1,2
OR5x100-0.25_10.dat,BFA,RO1,24411,Optimal,24342,0.002826595,1000,1,1
OR5x100-0.25_10.dat,BFA,RO1,24411,Optimal,24234,0.00725083,1000,1,0
OR5x100-0.25_10.dat,BFA,RO4,24411,Optimal,24411,0,20,0,6
OR5x100-0.25_10.dat,BFA,RO4,24411,Optimal,24340,0.002908525,1000,0,5
OR5x100-0.25_10.dat,BFA,RO4,24411,Optimal,24191,0.009012331,1000,0,4
OR5x100-0.25_10.dat,BFA,RO4,24411,Optimal,24411,0,25,0,2
OR5x100-0.25_10.dat,BFA,RO4,24411,Optimal,24195,0.00884847,1000,0,7
OR5x100-0.25_10.dat,BFA,RO4,24411,Optimal,24342,0.002826595,1000,0,1
OR5x100-0.25_10.dat,BFA,RO4,24411,Optimal,24191,0.009012331,1000,0,3
