文件名称,cplex求解结果,文献最优解,文献最优解状态,cplexGap,cplex耗时,cplex状态,
OR5x100-0.25_1.dat,24381,24381,Optimal,0.0,4,Optimal,
OR5x100-0.25_2.dat,24274,24274,Optimal,0.0,1,Optimal,
OR5x100-0.25_3.dat,23551,23551,Optimal,0.0,3,Optimal,
OR5x100-0.25_4.dat,23534,23534,Optimal,0.0,5,Optimal,
OR5x100-0.25_5.dat,23991,23991,Optimal,0.0,1,Optimal,
OR5x100-0.25_6.dat,24613,24613,Optimal,0.0,1,Optimal,
OR5x100-0.25_7.dat,25591,25591,Optimal,0.0,0,Optimal,
OR5x100-0.25_8.dat,23410,23410,Optimal,0.0,1,Optimal,
OR5x100-0.25_9.dat,24216,24216,Optimal,0.0,1,Optimal,
OR5x100-0.25_10.dat,24411,24411,Optimal,0.0,1,Optimal,
OR5x100-0.50_1.dat,42757,42757,Optimal,0.0,0,Optimal,
OR5x100-0.50_2.dat,42545,42545,Optimal,0.0,0,Optimal,
OR5x100-0.50_3.dat,41968,41968,Optimal,0.0,6,Optimal,
OR5x100-0.50_4.dat,45090,45090,Optimal,0.0,1,Optimal,
OR5x100-0.50_5.dat,42218,42218,Optimal,0.0,1,Optimal,
OR5x100-0.50_6.dat,42927,42927,Optimal,0.0,0,Optimal,
OR5x100-0.50_7.dat,42009,42009,Optimal,0.0,0,Optimal,
OR5x100-0.50_8.dat,45020,45020,Optimal,0.0,2,Optimal,
OR5x100-0.50_9.dat,43441,43441,Optimal,0.0,0,Optimal,
OR5x100-0.50_10.dat,44554,44554,Optimal,0.0,1,Optimal,
OR5x100-0.75_1.dat,59822,59822,Optimal,0.0,0,Optimal,
OR5x100-0.75_2.dat,62081,62081,Optimal,0.0,0,Optimal,
OR5x100-0.75_3.dat,59802,59802,Optimal,0.0,0,Optimal,
OR5x100-0.75_4.dat,60479,60479,Optimal,0.0,0,Optimal,
OR5x100-0.75_5.dat,61091,61091,Optimal,0.0,0,Optimal,
OR5x100-0.75_6.dat,58959,58959,Optimal,0.0,0,Optimal,
