文件名称,cplex求解结果,文献最优解,文献最优解状态,cplexGap,cplex耗时
weing1.dat,141278,141278,Optimal,0,0
weing2.dat,130883,130883,Optimal,0,0
weing3.dat,95677,95677,Optimal,0,0
weing4.dat,119337,119337,Optimal,0,0
weing5.dat,98796,98796,Optimal,0,0
weing6.dat,130623,130623,Optimal,9.19E-05,0
weing7.dat,1095264,1095445,Optimal,4.17E-04,0
weing8.dat,624319,624319,Optimal,9.78E-04,0
gk1.dat,3766,3766,Optimal,1.00E-03,1
gk2.dat,3958,3958,Optimal,1.00E-03,32
gk3.dat,5656,5656,Optimal,0.001229813,100
gk4.dat,5765,0,UnKnow,0.003498616,100
gk5.dat,7560,0,UnKnow,0.001445238,100
gk6.dat,7677,0,UnKnow,0.002757678,100
gk7.dat,19215,0,UnKnow,8.50E-04,6
gk8.dat,18801,0,UnKnow,0.001511475,100
gk9.dat,58064,0,UnKnow,6.28E-04,0
gk10.dat,57266,0,UnKnow,9.11E-04,1
gk11.dat,95191,0,UnKnow,9.09E-04,2
