文件名称,算法名称,修复算子,文献最优解,文献最优解状态,算法最优解,gap,迭代次数,耗时,
src/main/resources/Chu's MKP Benchmarks/OR5x100/OR5x100-0.25_10.dat,BFA,repairDropAddByGroup,24411,Optimal,23354,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR5x100/OR5x100-0.25_10.dat,BFA,RO2,24411,Optimal,23686,0.0,10,1,
src/main/resources/Chu's MKP Benchmarks/OR5x100/OR5x100-0.25_10.dat,BFA,RO1,24411,Optimal,17247,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR5x100/OR5x100-0.25_10.dat,BFA,dropItemsByDual,24411,Optimal,18388,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR5x250/OR5x250-0.50_10.dat,BFA,repairDropAddByGroup,107058,Optimal,100130,0.0,10,1,
src/main/resources/Chu's MKP Benchmarks/OR5x250/OR5x250-0.50_10.dat,BFA,RO2,107058,Optimal,99872,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR5x250/OR5x250-0.50_10.dat,BFA,RO1,107058,Optimal,91201,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR5x250/OR5x250-0.50_10.dat,BFA,dropItemsByDual,107058,Optimal,90938,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR5x500/OR5x500-0.75_10.dat,BFA,repairDropAddByGroup,299910,Optimal,284894,0.0,10,1,
src/main/resources/Chu's MKP Benchmarks/OR5x500/OR5x500-0.75_10.dat,BFA,RO2,299910,Optimal,267969,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR5x500/OR5x500-0.75_10.dat,BFA,RO1,299910,Optimal,226254,0.0,10,1,
src/main/resources/Chu's MKP Benchmarks/OR5x500/OR5x500-0.75_10.dat,BFA,dropItemsByDual,299910,Optimal,229689,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR10x100/OR10x100-0.25_10.dat,BFA,repairDropAddByGroup,22702,Optimal,21644,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR10x100/OR10x100-0.25_10.dat,BFA,RO2,22702,Optimal,22570,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR10x100/OR10x100-0.25_10.dat,BFA,RO1,22702,Optimal,16586,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR10x100/OR10x100-0.25_10.dat,BFA,dropItemsByDual,22702,Optimal,16626,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR10x250/OR10x250-0.50_10.dat,BFA,repairDropAddByGroup,106723,Optimal,100456,0.0,10,1,
src/main/resources/Chu's MKP Benchmarks/OR10x250/OR10x250-0.50_10.dat,BFA,RO2,106723,Optimal,99731,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR10x250/OR10x250-0.50_10.dat,BFA,RO1,106723,Optimal,89929,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR10x250/OR10x250-0.50_10.dat,BFA,dropItemsByDual,106723,Optimal,90368,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR10x500/OR10x500-0.75_10.dat,BFA,repairDropAddByGroup,307089,Optimal,292560,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR10x500/OR10x500-0.75_10.dat,BFA,RO2,307089,Optimal,273224,0.0,10,1,
src/main/resources/Chu's MKP Benchmarks/OR10x500/OR10x500-0.75_10.dat,BFA,RO1,307089,Optimal,231268,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR10x500/OR10x500-0.75_10.dat,BFA,dropItemsByDual,307089,Optimal,232806,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR30x100/OR30x100-0.25_10.dat,BFA,repairDropAddByGroup,20983,Optimal,19694,0.0,10,1,
src/main/resources/Chu's MKP Benchmarks/OR30x100/OR30x100-0.25_10.dat,BFA,RO2,20983,Optimal,20927,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR30x100/OR30x100-0.25_10.dat,BFA,RO1,20983,Optimal,15589,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR30x100/OR30x100-0.25_10.dat,BFA,dropItemsByDual,20983,Optimal,15468,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR30x250/OR30x250-0.50_10.dat,BFA,repairDropAddByGroup,105780,Feasible,100142,0.0,10,1,
src/main/resources/Chu's MKP Benchmarks/OR30x250/OR30x250-0.50_10.dat,BFA,RO2,105780,Feasible,99519,0.0,10,1,
src/main/resources/Chu's MKP Benchmarks/OR30x250/OR30x250-0.50_10.dat,BFA,RO1,105780,Feasible,89305,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR30x250/OR30x250-0.50_10.dat,BFA,dropItemsByDual,105780,Feasible,89317,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR30x500/OR30x500-0.75_10.dat,BFA,repairDropAddByGroup,300572,Feasible,286435,0.0,10,0,
src/main/resources/Chu's MKP Benchmarks/OR30x500/OR30x500-0.75_10.dat,BFA,RO2,300572,Feasible,266180,0.0,10,1,
src/main/resources/Chu's MKP Benchmarks/OR30x500/OR30x500-0.75_10.dat,BFA,RO1,300572,Feasible,229742,0.0,10,1,
src/main/resources/Chu's MKP Benchmarks/OR30x500/OR30x500-0.75_10.dat,BFA,dropItemsByDual,300572,Feasible,231075,0.0,10,0,
